ID,Type,SKU,Name,Published,Featured,Catalog visibility,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Sale price,Regular price,Categories,Tags,Position
,simple,VIB-001,Velvet Touch Vibrator | 丝绒触感震动棒,1,0,visible,Premium silicone vibrating massager | 高级硅胶震动按摩棒,10 vibration modes waterproof USB rechargeable,taxable,,1,99,0,0,0.20,89.00,129.00,Vibrators | 震动器,vib-001,0
,simple,VIB-002,Rose Petal Clitoral Sucker | 玫瑰吮吸器,1,0,visible,Air pulse stimulator | 气压吮吸刺激器,7 suction intensities ultra-quiet,taxable,,1,99,0,0,0.20,149.00,199.00,Vibrators | 震动器,vib-002,1
,simple,VIB-003,Rabbit Dual Vibrator | 兔子双重震动棒,1,0,visible,G-spot and clitoral stimulation | G点阴蒂双重刺激,12 vibration patterns flexible design,taxable,,1,99,0,0,0.20,159.00,219.00,Vibrators | 震动器,vib-003,2
,simple,VIB-004,Wand Massager Pro | 专业棒状按摩器,1,0,visible,Powerful full-body wand | 强力全身按摩棒,3 speed settings flexible head,taxable,,1,99,0,0,0.20,199.00,269.00,Vibrators | 震动器,vib-004,3
,simple,VIB-005,Finger Vibrator Ring | 手指震动环,1,0,visible,Compact finger-worn vibrator | 小巧手指震动器,4 vibration modes waterproof,taxable,,1,99,0,0,0.20,39.00,59.00,Vibrators | 震动器,vib-005,4
,simple,VIB-006,App-Controlled Bullet | APP遥控子弹震动器,1,0,visible,Bluetooth app-controlled | 蓝牙APP遥控,Long-distance control 10 modes,taxable,,1,99,0,0,0.20,119.00,169.00,Vibrators | 震动器,vib-006,5
,simple,VIB-007,G-Spot Curved Vibrator | G点弯曲震动棒,1,0,visible,Precisely angled G-spot stimulation | 精准G点刺激,Ergonomic curve 8 modes,taxable,,1,99,0,0,0.20,109.00,149.00,Vibrators | 震动器,vib-007,6
,simple,VIB-008,Remote Egg Vibrator | 遥控跳蛋,1,0,visible,Wireless remote control egg | 无线遥控跳蛋,12 modes 10m remote range,taxable,,1,99,0,0,0.20,79.00,109.00,Vibrators | 震动器,vib-008,7
,simple,VIB-009,Panty Vibrator Set | 内裤震动器套装,1,0,visible,Wearable panty vibrator | 可穿戴内裤震动器,Discreet wear app control 9 modes,taxable,,1,99,0,0,0.20,139.00,189.00,Vibrators | 震动器,vib-009,8
,simple,VIB-010,Thrusting Vibrator | 抽插震动棒,1,0,visible,Automatic thrusting vibrator | 自动抽插震动棒,3 thrust speeds 7 vibration modes,taxable,,1,99,0,0,0.20,189.00,249.00,Vibrators | 震动器,vib-010,9
,simple,VIB-011,Lipstick Vibrator | 口红震动棒,1,0,visible,Discreet lipstick-shaped | 隐秘口红造型,Portable 7 modes,taxable,,1,99,0,0,0.20,49.00,69.00,Vibrators | 震动器,vib-011,10
,simple,VIB-012,Triple Stimulation Vibrator | 三重刺激震动棒,1,0,visible,G-spot clitoral anal stimulation | 三重刺激,Independent motors each point,taxable,,1,99,0,0,0.20,229.00,299.00,Vibrators | 震动器,vib-012,11
,simple,VIB-013,Heating Vibrator | 加热震动棒,1,0,visible,Body-warming vibrator | 体温加热震动棒,Heats to body temperature 3 min,taxable,,1,99,0,0,0.20,159.00,209.00,Vibrators | 震动器,vib-013,12
,simple,VIB-014,Mini Massager Keychain | 迷你按摩棒,1,0,visible,Ultra-portable keychain vibrator | 超便携钥匙扣,Discreet everyday carry 3 modes,taxable,,1,99,0,0,0.20,29.00,45.00,Vibrators | 震动器,vib-014,13
,simple,VIB-015,Suction Cup Vibrator | 吸盘震动棒,1,0,visible,Hands-free suction cup | 免手持吸盘,Strong suction 10 modes,taxable,,1,99,0,0,0.20,129.00,179.00,Vibrators | 震动器,vib-015,14
,simple,VIB-016,Couples Vibration Ring | 情侣震动环,1,0,visible,Vibrating cock ring for couples | 情侣震动环,Stimulates both partners,taxable,,1,99,0,0,0.20,59.00,89.00,Vibrators | 震动器,vib-016,15
,simple,VIB-017,Squirting Dildo Vibrator | 喷射震动棒,1,0,visible,Realistic squirting with vibration | 逼真喷射震动,Includes squeeze bulb 7 modes,taxable,,1,99,0,0,0.20,179.00,239.00,Vibrators | 震动器,vib-017,16
,simple,VIB-018,Tongue Vibrator | 舌形震动器,1,0,visible,Tongue-shaped oral simulator | 舌形口交模拟,Realistic movements 10 modes,taxable,,1,99,0,0,0.20,109.00,149.00,Vibrators | 震动器,vib-018,17
,simple,VIB-019,Butterfly Vibrator | 蝴蝶震动器,1,0,visible,Butterfly hands-free vibrator | 蝴蝶免手持,Adjustable straps 10 modes,taxable,,1,99,0,0,0.20,119.00,159.00,Vibrators | 震动器,vib-019,18
,simple,VIB-020,Glass Vibrator | 玻璃震动棒,1,0,visible,Borosilicate glass vibrator | 硼硅酸盐玻璃震动棒,Temperature play body-safe,taxable,,1,99,0,0,0.20,139.00,189.00,Vibrators | 震动器,vib-020,19
,simple,DIL-001,Realistic Silicone Dildo | 逼真硅胶假阳具,1,0,visible,Ultra-realistic silicone | 超逼真硅胶,Platinum silicone suction cup,taxable,,1,99,0,0,0.20,89.00,129.00,Dildos | 假阳具,dil-001,20
,simple,DIL-002,Double-Ended Dildo | 双头假阳具,1,0,visible,Flexible double-ended | 柔韧双头,Solo or couples 45cm,taxable,,1,99,0,0,0.20,99.00,149.00,Dildos | 假阳具,dil-002,21
,simple,DIL-003,Curved G-Spot Dildo | G点弯曲假阳具,1,0,visible,Precisely curved G-spot | 精准G点,Premium silicone 7 inch,taxable,,1,99,0,0,0.20,79.00,119.00,Dildos | 假阳具,dil-003,22
,simple,DIL-004,Huge XXL Dildo | 超大XXL假阳具,1,0,visible,Extra large for advanced | 高级用户超大,Body-safe silicone suction cup,taxable,,1,99,0,0,0.20,149.00,199.00,Dildos | 假阳具,dil-004,23
,simple,DIL-005,Strapless Strap-On | 无绑带穿戴假阳具,1,0,visible,Innovative strapless strap-on | 无绑带穿戴,Worn internally no harness,taxable,,1,99,0,0,0.20,159.00,219.00,Dildos | 假阳具,dil-005,24
,simple,DIL-006,Vibrating Dildo | 震动假阳具,1,0,visible,Realistic dildo with vibration | 带震动假阳具,10 modes USB rechargeable,taxable,,1,99,0,0,0.20,119.00,169.00,Dildos | 假阳具,dil-006,25
,simple,DIL-007,Glass Dildo | 玻璃假阳具,1,0,visible,Elegant borosilicate glass | 优雅玻璃,Temperature play body-safe,taxable,,1,99,0,0,0.20,109.00,149.00,Dildos | 假阳具,dil-007,26
,simple,DIL-008,Metal Dildo | 金属假阳具,1,0,visible,Stainless steel dildo | 不锈钢假阳具,Polished surgical steel,taxable,,1,99,0,0,0.20,129.00,179.00,Dildos | 假阳具,dil-008,27
,simple,DIL-009,Suction Cup Dildo | 吸盘假阳具,1,0,visible,Strong suction cup base | 强力吸盘底座,Hands-free smooth surface,taxable,,1,99,0,0,0.20,79.00,119.00,Dildos | 假阳具,dil-009,28
,simple,DIL-010,Squirting Dildo | 喷射假阳具,1,0,visible,Ejaculating dildo | 射精假阳具,Squeeze bulb body-safe fluid,taxable,,1,99,0,0,0.20,129.00,179.00,Dildos | 假阳具,dil-010,29
,simple,DIL-011,Fantasy Dildo | 幻想假阳具,1,0,visible,Fantasy-shaped dildo | 幻想造型,Non-realistic design body-safe,taxable,,1,99,0,0,0.20,99.00,139.00,Dildos | 假阳具,dil-011,30
,simple,DIL-012,Slim Beginner Dildo | 纤细新手假阳具,1,0,visible,Perfect starter dildo | 新手入门,Slim profile flexible silicone,taxable,,1,99,0,0,0.20,59.00,89.00,Dildos | 假阳具,dil-012,31
,simple,DIL-013,Strap-On Kit | 穿戴式套装,1,0,visible,Complete strap-on harness kit | 完整套装,Adjustable harness 2 dildos,taxable,,1,99,0,0,0.20,199.00,279.00,Dildos | 假阳具,dil-013,32
,simple,DIL-014,Inflatable Dildo | 充气假阳具,1,0,visible,Inflatable expanding dildo | 充气膨胀,Adjustable size inflation pump,taxable,,1,99,0,0,0.20,109.00,149.00,Dildos | 假阳具,dil-014,33
,simple,DIL-015,Prostate Dildo | 前列腺按摩假阳具,1,0,visible,Curved prostate massage | 前列腺按摩,Ergonomic P-spot curve,taxable,,1,99,0,0,0.20,89.00,129.00,Dildos | 假阳具,dil-015,34
,simple,DIL-016,Glow Dark Dildo | 夜光假阳具,1,0,visible,Glow-in-the-dark dildo | 夜光假阳具,Charges in light glows dark,taxable,,1,99,0,0,0.20,79.00,109.00,Dildos | 假阳具,dil-016,35
,simple,DIL-017,Dual Density Dildo | 双重密度假阳具,1,0,visible,Dual-density realistic | 双重密度逼真,Hard core soft outer layer,taxable,,1,99,0,0,0.20,119.00,159.00,Dildos | 假阳具,dil-017,36
,simple,DIL-018,Crystal Clear Dildo | 水晶透明假阳具,1,0,visible,Clear crystal silicone | 水晶透明硅胶,100% body-safe clear,taxable,,1,99,0,0,0.20,79.00,119.00,Dildos | 假阳具,dil-018,37
,simple,DIL-019,Rotating Dildo | 旋转假阳具,1,0,visible,Rotating head unique sensation | 旋转头部,3 rotation 7 vibration modes,taxable,,1,99,0,0,0.20,149.00,199.00,Dildos | 假阳具,dil-019,38
,simple,DIL-020,Textured Dildo | 纹理假阳具,1,0,visible,Heavily textured intense | 丰富纹理,Ribbed dotted texture body-safe,taxable,,1,99,0,0,0.20,89.00,129.00,Dildos | 假阳具,dil-020,39
,simple,ANL-001,Beginner Butt Plug | 新手肛塞,1,0,visible,Slim beginner butt plug | 纤细新手肛塞,Smooth silicone flared base,taxable,,1,99,0,0,0.20,29.00,49.00,Anal Toys | 肛塞玩具,anl-001,40
,simple,ANL-002,Vibrating Butt Plug | 震动肛塞,1,0,visible,Vibrating butt plug | 震动肛塞,10 modes USB rechargeable,taxable,,1,99,0,0,0.20,79.00,109.00,Anal Toys | 肛塞玩具,anl-002,41
,simple,ANL-003,Jewel Anal Plug Set | 宝石肛塞套装,1,0,visible,Crystal jewel butt plug set | 水晶宝石肛塞套装,3 sizes stainless steel,taxable,,1,99,0,0,0.20,99.00,139.00,Anal Toys | 肛塞玩具,anl-003,42
,simple,ANL-004,Inflatable Anal Plug | 充气肛塞,1,0,visible,Inflatable expanding plug | 充气膨胀肛塞,Adjustable size pump included,taxable,,1,99,0,0,0.20,89.00,129.00,Anal Toys | 肛塞玩具,anl-004,43
,simple,ANL-005,Prostate Massager | 前列腺按摩器,1,0,visible,Angled prostate massager | 角度前列腺按摩,P-spot precision vibration,taxable,,1,99,0,0,0.20,119.00,169.00,Anal Toys | 肛塞玩具,anl-005,44
,simple,ANL-006,Anal Beads | 肛门珠串,1,0,visible,Graduated anal bead string | 渐进式肛门珠串,Silicone graduated sizes,taxable,,1,99,0,0,0.20,49.00,79.00,Anal Toys | 肛塞玩具,anl-006,45
,simple,ANL-007,Remote Vibrating Plug | 遥控震动肛塞,1,0,visible,Remote-controlled vibrating plug | 遥控震动肛塞,10m wireless remote,taxable,,1,99,0,0,0.20,89.00,129.00,Anal Toys | 肛塞玩具,anl-007,46
,simple,ANL-008,Tail Butt Plug | 尾巴肛塞,1,0,visible,Furry tail butt plug | 毛绒尾巴肛塞,Multiple colors available,taxable,,1,99,0,0,0.20,59.00,89.00,Anal Toys | 肛塞玩具,anl-008,47
,simple,ANL-009,Glass Anal Plug | 玻璃肛塞,1,0,visible,Glass anal plug | 玻璃肛塞,Temperature play body-safe,taxable,,1,99,0,0,0.20,79.00,119.00,Anal Toys | 肛塞玩具,anl-009,48
,simple,ANL-010,XXL Anal Plug | 超大肛塞,1,0,visible,Extra large butt plug | 超大肛塞,Advanced users only flared base,taxable,,1,99,0,0,0.20,129.00,179.00,Anal Toys | 肛塞玩具,anl-010,49
,simple,ANL-011,Anal Dildo | 肛门假阳具,1,0,visible,Slim anal dildo | 纤细肛门假阳具,Suction cup base silicone,taxable,,1,99,0,0,0.20,69.00,99.00,Anal Toys | 肛塞玩具,anl-011,50
,simple,ANL-012,Double Plug | 双重肛塞,1,0,visible,Double penetration plug | 双重穿透肛塞,Simultaneous stimulation,taxable,,1,99,0,0,0.20,109.00,149.00,Anal Toys | 肛塞玩具,anl-012,51
,simple,ANL-013,App-Controlled Plug | APP遥控肛塞,1,0,visible,Bluetooth app-controlled plug | 蓝牙APP肛塞,Long-distance control,taxable,,1,99,0,0,0.20,119.00,159.00,Anal Toys | 肛塞玩具,anl-013,52
,simple,ANL-014,Heating Anal Plug | 加热肛塞,1,0,visible,Self-heating anal plug | 自加热肛塞,Body temperature warming,taxable,,1,99,0,0,0.20,99.00,139.00,Anal Toys | 肛塞玩具,anl-014,53
,simple,ANL-015,Rotating Anal Plug | 旋转肛塞,1,0,visible,Rotating vibrating plug | 旋转震动肛塞,360 degree rotation,taxable,,1,99,0,0,0.20,109.00,149.00,Anal Toys | 肛塞玩具,anl-015,54
,simple,ANL-016,Stainless Steel Plug | 不锈钢肛塞,1,0,visible,Heavy metal butt plug | 重型金属肛塞,Polished surgical steel,taxable,,1,99,0,0,0.20,99.00,139.00,Anal Toys | 肛塞玩具,anl-016,55
,simple,ANL-017,Suction Cup Anal Plug | 吸盘肛塞,1,0,visible,Hands-free suction plug | 免手持吸盘肛塞,Strong suction base,taxable,,1,99,0,0,0.20,69.00,99.00,Anal Toys | 肛塞玩具,anl-017,56
,simple,ANL-018,Curved Prostate Plug | 弯曲前列腺肛塞,1,0,visible,Curved for prostate access | 弯曲前列腺专用,Ergonomic angle P-spot,taxable,,1,99,0,0,0.20,89.00,129.00,Anal Toys | 肛塞玩具,anl-018,57
,simple,ANL-019,Beaded Anal Plug | 珠状肛塞,1,0,visible,Beaded texture plug | 珠状纹理肛塞,Multiple beads graduated,taxable,,1,99,0,0,0.20,59.00,89.00,Anal Toys | 肛塞玩具,anl-019,58
,simple,ANL-020,Trainer Kit Anal | 肛塞训练套装,1,0,visible,Complete anal trainer kit | 完整肛塞训练套装,3 plugs progressive sizes,taxable,,1,99,0,0,0.20,99.00,149.00,Anal Toys | 肛塞玩具,anl-020,59
,simple,BDS-001,Silk Bondage Rope | 丝绸束缚绳,1,0,visible,Soft silk bondage rope | 柔软丝绸束缚绳,5m length soft on skin,taxable,,1,99,0,0,0.20,39.00,59.00,BDSM & Bondage | BDSM束缚,bds-001,60
,simple,BDS-002,Leather Handcuffs | 皮革手铐,1,0,visible,Padded leather handcuffs | 加衬皮革手铐,Adjustable quick-release,taxable,,1,99,0,0,0.20,49.00,79.00,BDSM & Bondage | BDSM束缚,bds-002,61
,simple,BDS-003,Beginner BDSM Kit | BDSM新手套装,1,0,visible,Complete beginner bondage kit | 新手束缚套装,Handcuffs blindfold flogger,taxable,,1,99,0,0,0.20,129.00,179.00,BDSM & Bondage | BDSM束缚,bds-003,62
,simple,BDS-004,Blindfold Eye Mask | 眼罩,1,0,visible,Luxury satin blindfold | 豪华缎面眼罩,Blocks light completely,taxable,,1,99,0,0,0.20,19.00,35.00,BDSM & Bondage | BDSM束缚,bds-004,63
,simple,BDS-005,Flogger Whip | 鞭子,1,0,visible,Leather flogger whip | 皮革鞭子,Multiple falls leather handle,taxable,,1,99,0,0,0.20,59.00,89.00,BDSM & Bondage | BDSM束缚,bds-005,64
,simple,BDS-006,Ball Gag | 口球,1,0,visible,Silicone ball gag | 硅胶口球,Adjustable straps drool-proof,taxable,,1,99,0,0,0.20,39.00,59.00,BDSM & Bondage | BDSM束缚,bds-006,65
,simple,BDS-007,Nipple Clamps | 乳夹,1,0,visible,Adjustable nipple clamps | 可调节乳夹,Vibrating with chain,taxable,,1,99,0,0,0.20,49.00,79.00,BDSM & Bondage | BDSM束缚,bds-007,66
,simple,BDS-008,Under Bed Restraint | 床下束缚系统,1,0,visible,Under-mattress restraint system | 床垫下束缚,Fits any mattress size,taxable,,1,99,0,0,0.20,89.00,129.00,BDSM & Bondage | BDSM束缚,bds-008,67
,simple,BDS-009,Spreader Bar | 开腿棒,1,0,visible,Adjustable spreader bar | 可调节开腿棒,With ankle and wrist cuffs,taxable,,1,99,0,0,0.20,99.00,149.00,BDSM & Bondage | BDSM束缚,bds-009,68
,simple,BDS-010,Paddle Spanking | 拍打板,1,0,visible,Faux leather spanking paddle | 仿皮拍打板,Two-sided texture,taxable,,1,99,0,0,0.20,49.00,79.00,BDSM & Bondage | BDSM束缚,bds-010,69
,simple,BDS-011,Body Harness | 身体绑带,1,0,visible,Full body leather harness | 全身皮革绑带,Adjustable straps,taxable,,1,99,0,0,0.20,119.00,169.00,BDSM & Bondage | BDSM束缚,bds-011,70
,simple,BDS-012,Collar Leash Set | 项圈皮带套装,1,0,visible,Leather collar with leash | 皮革项圈配皮带,O-ring D-ring attachment,taxable,,1,99,0,0,0.20,59.00,89.00,BDSM & Bondage | BDSM束缚,bds-012,71
,simple,BDS-013,Wartenberg Wheel | 神经滚轮,1,0,visible,Wartenberg pinwheel set | 神经滚轮套装,Stainless steel sensory,taxable,,1,99,0,0,0.20,39.00,59.00,BDSM & Bondage | BDSM束缚,bds-013,72
,simple,BDS-014,Candle Wax Play | 蜡烛滴蜡游戏,1,0,visible,Low-temp drip candles | 低温滴蜡蜡烛,Body-safe low melting point,taxable,,1,99,0,0,0.20,29.00,45.00,BDSM & Bondage | BDSM束缚,bds-014,73
,simple,BDS-015,Ankle Cuffs | 脚踝手铐,1,0,visible,Padded ankle restraint cuffs | 加衬脚踝束缚,Adjustable velcro closure,taxable,,1,99,0,0,0.20,39.00,59.00,BDSM & Bondage | BDSM束缚,bds-015,74
,simple,BDS-016,Hogtie Set | 全身束缚套装,1,0,visible,Hogtie bondage set | 猪蹄式束缚套装,Wrists ankles connection,taxable,,1,99,0,0,0.20,79.00,119.00,BDSM & Bondage | BDSM束缚,bds-016,75
,simple,BDS-017,Tickler Feather | 羽毛逗弄棒,1,0,visible,Feather tickler teaser | 羽毛逗弄,Sensory play beginners,taxable,,1,99,0,0,0.20,19.00,35.00,BDSM & Bondage | BDSM束缚,bds-017,76
,simple,BDS-018,Crop Riding Crop | 骑马鞭,1,0,visible,Leather riding crop | 皮革骑马鞭,Flexible shaft leather slapper,taxable,,1,99,0,0,0.20,49.00,79.00,BDSM & Bondage | BDSM束缚,bds-018,77
,simple,BDS-019,Sensory Deprivation Hood | 感觉剥夺头罩,1,0,visible,Leather sensory deprivation hood | 皮革头罩,Eye mouth openings,taxable,,1,99,0,0,0.20,89.00,129.00,BDSM & Bondage | BDSM束缚,bds-019,78
,simple,BDS-020,Complete BDSM Set | 完整BDSM套装,1,0,visible,Deluxe BDSM accessories set | 豪华BDSM套装,10 piece complete collection,taxable,,1,99,0,0,0.20,249.00,349.00,BDSM & Bondage | BDSM束缚,bds-020,79
,simple,LNG-001,Lace Babydoll Set | 蕾丝娃娃装套装,1,0,visible,Sexy lace babydoll lingerie | 性感蕾丝娃娃装,One size fits most,taxable,,1,99,0,0,0.20,39.00,59.00,Lingerie | 情趣内衣,lng-001,80
,simple,LNG-002,Fishnet Bodysuit | 渔网连体衣,1,0,visible,Stretch fishnet bodysuit | 弹力渔网连体衣,One size adjustable,taxable,,1,99,0,0,0.20,29.00,49.00,Lingerie | 情趣内衣,lng-002,81
,simple,LNG-003,Corset Bustier | 胸衣束腰,1,0,visible,Satin corset bustier set | 缎面胸衣束腰,Boned structure lace-up back,taxable,,1,99,0,0,0.20,89.00,129.00,Lingerie | 情趣内衣,lng-003,82
,simple,LNG-004,Crotchless Panty Set | 开档内裤套装,1,0,visible,Crotchless panty and bra set | 开档内裤文胸套装,Lace trim multiple colors,taxable,,1,99,0,0,0.20,45.00,69.00,Lingerie | 情趣内衣,lng-004,83
,simple,LNG-005,Sheer Chemise | 透视睡裙,1,0,visible,Sheer mesh chemise | 透视网眼睡裙,Thong included adjustable straps,taxable,,1,99,0,0,0.20,49.00,75.00,Lingerie | 情趣内衣,lng-005,84
,simple,LNG-006,Teddy Lingerie | 连体紧身衣,1,0,visible,Sexy teddy one-piece | 性感连体紧身衣,Snap closure adjustable,taxable,,1,99,0,0,0.20,55.00,85.00,Lingerie | 情趣内衣,lng-006,85
,simple,LNG-007,Nurse Costume | 护士制服,1,0,visible,Sexy nurse uniform set | 性感护士制服套装,Dress hat apron thong,taxable,,1,99,0,0,0.20,79.00,119.00,Lingerie | 情趣内衣,lng-007,86
,simple,LNG-008,Maid Outfit | 女仆装,1,0,visible,French maid costume set | 法式女仆装套装,Dress apron headband,taxable,,1,99,0,0,0.20,69.00,109.00,Lingerie | 情趣内衣,lng-008,87
,simple,LNG-009,Latex Bra Set | 乳胶文胸套装,1,0,visible,Latex bra and panty set | 乳胶文胸内裤套装,Shiny latex multiple sizes,taxable,,1,99,0,0,0.20,99.00,149.00,Lingerie | 情趣内衣,lng-009,88
,simple,LNG-010,Strappy Harness Bra | 绑带式文胸,1,0,visible,Strappy cage bra harness | 绑带笼型文胸,Adjustable straps fashion,taxable,,1,99,0,0,0.20,59.00,89.00,Lingerie | 情趣内衣,lng-010,89
,simple,LNG-011,Garter Belt Set | 吊袜带套装,1,0,visible,Garter belt with stockings | 吊袜带配丝袜套装,4 garters stockings included,taxable,,1,99,0,0,0.20,45.00,69.00,Lingerie | 情趣内衣,lng-011,90
,simple,LNG-012,Peek-a-Boo Bra | 露点文胸,1,0,visible,Open cup peek-a-boo bra | 开杯露点文胸,Shelf bra lace trim,taxable,,1,99,0,0,0.20,39.00,59.00,Lingerie | 情趣内衣,lng-012,91
,simple,LNG-013,Silk Robe Set | 丝绸睡袍套装,1,0,visible,Silk satin robe and nightie | 丝绸睡袍睡裙套装,Belted closure feather trim,taxable,,1,99,0,0,0.20,89.00,129.00,Lingerie | 情趣内衣,lng-013,92
,simple,LNG-014,Bodycon Dress | 紧身连衣裙,1,0,visible,Sheer bodycon mesh dress | 透明紧身连衣裙,Thong included S-XL,taxable,,1,99,0,0,0.20,55.00,85.00,Lingerie | 情趣内衣,lng-014,93
,simple,LNG-015,Rave Lingerie | 锐舞内衣,1,0,visible,Holographic rave bra set | 全息锐舞文胸套装,Festival wear multiple colors,taxable,,1,99,0,0,0.20,65.00,95.00,Lingerie | 情趣内衣,lng-015,94
,simple,LNG-016,Camisole Set | 吊带背心套装,1,0,visible,Satin camisole and short set | 缎面吊带套装,Lace trim loungewear,taxable,,1,99,0,0,0.20,49.00,75.00,Lingerie | 情趣内衣,lng-016,95
,simple,LNG-017,Open Back Bodysuit | 露背连体衣,1,0,visible,Strappy open back bodysuit | 绑带露背连体衣,Snap closure sheer mesh,taxable,,1,99,0,0,0.20,55.00,85.00,Lingerie | 情趣内衣,lng-017,96
,simple,LNG-018,Plus Size Lingerie | 大码情趣内衣,1,0,visible,Plus size lace lingerie set | 大码蕾丝内衣套装,Inclusive sizing 1X-3X,taxable,,1,99,0,0,0.20,65.00,95.00,Lingerie | 情趣内衣,lng-018,97
,simple,LNG-019,Cupless Shelf Bra | 无杯架型文胸,1,0,visible,Shelf bra cupless design | 无杯架型文胸,Underwire support lace,taxable,,1,99,0,0,0.20,45.00,69.00,Lingerie | 情趣内衣,lng-019,98
,simple,LNG-020,Full Body Stocking | 全身连体丝袜,1,0,visible,Sheer full body stocking | 透明全身连体丝袜,One size fits most crotchless,taxable,,1,99,0,0,0.20,35.00,55.00,Lingerie | 情趣内衣,lng-020,99
